,file,length_orig,length_clean,lendiff,maxdb_orig,maxdb_clean,maxdbdiff
0,s1,0.4905215419501134,0.4905215419501134,0.0,-3.9491374476031433,-12.328748205038195,8.379610757435053
1,s2,0.4935600907029479,0.3386621315192744,0.1548979591836735,-8.548848520839696,-5.971697957146379,2.5771505636933174
2,s3,0.4686621315192744,0.4686621315192744,0.0,-2.3530609326436984,-9.274880786873238,6.92181985422954
3,s4,0.4831972789115646,0.4831972789115646,0.0,-12.988897620308473,-12.564266995583518,0.42463062472495494
4,s5,0.28480725623582764,0.28480725623582764,0.0,-9.308102375465946,-17.11231046171988,7.804208086253933
5,s6,0.4901587301587302,0.4901587301587302,0.0,-2.706680532490674,-12.636640404388132,9.929959871897458
6,s7,0.46739229024943313,0.46739229024943313,0.0,-5.035538918484682,-7.8513151655452695,2.8157762470605876
7,s8,0.20058956916099774,0.20058956916099774,0.0,-2.9006926233840646,-9.562594604892153,6.661901981508088
8,s9,0.49673469387755104,0.49673469387755104,0.0,-6.034129545737148,-10.719587260877013,4.685457715139865
9,s10,0.436984126984127,0.41312925170068027,0.023854875283446708,-5.751513503733715,-6.585434388285676,0.8339208845519606
10,s11,0.48115646258503403,0.48115646258503403,0.0,-3.467389552213786,-11.303384262562211,7.835994710348425
11,s12,0.4800453514739229,0.4800453514739229,0.0,-4.2586517757197,-10.453246337726867,6.1945945620071665
12,s13,0.4902721088435374,0.4902721088435374,0.0,-13.928389649052793,-17.85616510024748,3.9277754511946874
13,s14,0.17179138321995466,0.17179138321995466,0.0,-4.817725924643374,-13.850994666150967,9.033268741507595
14,s15,0.4834467120181406,0.4834467120181406,0.0,-8.863735670563683,-8.879194268855626,0.015458598291942849
15,s16,0.4977551020408163,0.4977551020408163,0.0,-2.789611767075248,-11.188247977220435,8.398636210145186
16,s17,0.5034240362811792,0.5034240362811792,0.0,-6.14797263577037,-7.623278490421397,1.475305854651027
17,s18,0.49741496598639456,0.49741496598639456,0.0,-3.657136920720009,-12.792465846038827,9.135328925318817
18,s19,0.49281179138321995,0.49281179138321995,0.0,-5.451944249377591,-13.553178231759313,8.101233982381721
19,s20,0.4901587301587302,0.4901587301587302,0.0,-9.849449492474122,-13.696960249131092,3.8475107566569697
20,s21,0.5001587301587301,0.5001587301587301,0.0,-4.846855389393909,-15.504638912684985,10.657783523291076
21,s22,0.48235827664399095,0.48235827664399095,0.0,-6.622288311290837,-14.84031915702178,8.218030845730944
22,s23,0.313469387755102,0.313469387755102,0.0,-13.349880845929505,-18.274050657631882,4.924169811702377
23,s24,0.4901587301587302,0.4901587301587302,0.0,-5.099673270692252,-15.28623219212231,10.186558921430057
24,s25,0.4201360544217687,0.4201360544217687,0.0,-6.123260167136454,-11.170005345950054,5.0467451788136
25,s26,0.4904081632653061,0.4904081632653061,0.0,0.0002650763603796116,-12.48579301385856,12.48605809021894
26,s27,0.313469387755102,0.313469387755102,0.0,-7.220862863694032,-14.677934250715145,7.457071387021113
27,s28,0.4315646258503401,0.4315646258503401,0.0,-8.63008559006146,-13.858833917258961,5.228748327197501
28,s29,0.34956916099773244,0.3206122448979592,0.028956916099773244,-4.818649169716316,-10.10952299342203,5.290873823705713
29,s30,0.4750793650793651,0.4750793650793651,0.0,-7.830394752871342,-9.97475086153455,2.1443561086632084
30,s31,0.4901587301587302,0.4447845804988662,0.04537414965986397,-7.691127346960949,-11.846963313985995,4.155835967025046
31,s32,0.49124716553287984,0.49124716553287984,0.0,-0.009813516673892369,-9.741375948892749,9.731562432218857
32,s33,0.41532879818594104,0.41532879818594104,0.0,-4.052497098592218,-5.977498921875447,1.925001823283229
33,s34,0.4868480725623583,0.4868480725623583,0.0,-3.8403911958255907,-6.666720424954995,2.8263292291294047
34,s35,0.4921541950113379,0.4921541950113379,0.0,-3.8449296016297696,-12.21875051487758,8.373820913247812
35,s36,0.31412698412698414,0.31412698412698414,0.0,-5.0592372024151535,-6.226876854783198,1.1676396523680443
36,s37,0.4201360544217687,0.4201360544217687,0.0,-14.58222493503258,-14.508663215024189,0.07356172000839045
37,s38,0.38811791383219957,0.38811791383219957,0.0,-13.240854073820664,-15.005797820673475,1.7649437468528113
38,s39,0.4968934240362812,0.4968934240362812,0.0,-7.245856492559125,-19.646007857261203,12.40015136470208
39,s40,0.4921541950113379,0.4921541950113379,0.0,-1.9513316613010745,-6.020864997729863,4.069533336428789
40,s41,0.4859183673469388,0.4859183673469388,0.0,0.0002650763603796116,-5.971170788776839,5.971435865137219
41,s42,0.5003854875283447,0.5003854875283447,0.0,-4.835284383981869,-7.80106041347984,2.965776029497971
42,s43,0.4977324263038549,0.4977324263038549,0.0,-6.747621392209378,-17.63128836966732,10.883666977457942
43,s44,0.49458049886621314,0.49458049886621314,0.0,-1.5220797462287259,-5.999683765168971,4.477604018940245
44,s45,0.38675736961451246,0.38675736961451246,0.0,-2.073646621936253,-6.0240466423215056,3.9504000203852527
45,s46,0.4895691609977324,0.4895691609977324,0.0,-4.580053354792122,-12.070673701953321,7.490620347161199
46,s47,0.49768707482993196,0.49768707482993196,0.0,-10.23004949935981,-16.69477302888128,6.46472352952147
47,s48,0.4969387755102041,0.4969387755102041,0.0,-5.872106073041271,-5.9727523898806725,0.10064631683940117
48,s49,0.4266666666666667,0.4266666666666667,0.0,-4.736404949477333,-5.992282519746536,1.2558775702692033
49,s50,0.4677097505668934,0.4677097505668934,0.0,-6.799077207338535,-13.698243340888808,6.899166133550273
50,s51,0.5245124716553288,0.5245124716553288,0.0,-4.506705207651123,-10.592123825666135,6.085418618015012
51,s52,0.5997732426303855,0.5997732426303855,0.0,0.0,-14.477727522287381,14.477727522287381
